k, l, time, score, round
3,2,0.838438333,102,1
5,2,0.2126876659999999,254,1
7,2,0.71335975,712,1
9,2,1.7129996250000001,1221,1
11,2,3.386524166,1805,1
13,2,5.810768625,2597,1
5,3,16.109252458,267,1
9,3,173.317648084,1222,1
13,3,635.742377625,2608,1
3,2,0.12746608299999995,76,2
5,2,0.20585399999999998,313,2
7,2,0.714018333,598,2
9,2,1.7349045,1138,2
11,2,3.403548167,1862,2
13,2,5.896230541,2553,2
5,3,15.993067042,308,2
9,3,171.546597084,1135,2
13,3,617.826924584,2528,2
3,2,0.021801083000013932,86,3
5,2,0.20297608299995318,248,3
7,2,0.7065009169999712,654,3
9,2,1.8214957089999189,1146,3
11,2,3.528153125000017,1724,3
13,2,6.107197917000008,2492,3
5,3,16.856144416000006,248,3
9,3,174.47963045799986,1182,3
13,3,618.958682167,2515,3
3,2,0.14173070800001142,78,4
5,2,0.20384741700001996,383,4
7,2,0.7062947079999731,539,4
9,2,1.7230112500000132,1135,4
11,2,3.3603161660000183,1822,4
13,2,5.821962041999996,2593,4
5,3,16.075094250000006,316,4
9,3,173.36301108300006,1100,4
13,3,625.716966125,2688,4
3,2,0.024210834000086834,108,5
5,2,0.20679354200001399,268,5
7,2,0.711724624999988,665,5
9,2,1.7039353329998903,1160,5
11,2,3.3840073329999996,1783,5
13,2,5.921544415999961,2423,5
5,3,16.318074415999945,248,5
9,3,175.521908833,1160,5
13,3,626.8002913750001,2427,5
3,2,0.023386125000342872,82,6
5,2,0.20289358400032143,281,6
7,2,0.7027367089999643,726,6
9,2,1.6858155830000214,1104,6
11,2,3.342092583000067,1748,6
13,2,5.834068458999809,2482,6
5,3,16.394348208999872,281,6
9,3,173.73491866599988,1088,6
13,3,623.5785847089996,2493,6
3,2,0.022009457999956794,72,7
5,2,0.2031390839993037,336,7
7,2,0.7034421250000378,650,7
9,2,1.6860989169999812,1103,7
11,2,3.3635353330000726,1813,7
13,2,5.941529417000311,2628,7
5,3,16.333975792000274,336,7
9,3,172.77477933299997,1125,7
13,3,628.4682385830001,2681,7
3,2,0.021961542000099143,68,8
5,2,0.2043359170002077,303,8
7,2,0.7062920409998696,555,8
9,2,1.6879079999998794,1053,8
11,2,3.387566415999572,1943,8
13,2,5.818055333000302,2273,8
5,3,16.286181374999614,303,8
9,3,175.61057524999978,1056,8
13,3,626.1456501250004,2259,8
3,2,0.02356487500037474,81,9
5,2,0.20289604099980352,299,9
7,2,0.7082806670005084,685,9
9,2,1.7081637910005156,1199,9
11,2,3.348397042000215,1766,9
13,2,5.827932583000802,2703,9
5,3,16.23140945799969,279,9
9,3,175.27294491700013,1177,9
13,3,628.688169084,2695,9
3,2,0.021947166000245488,93,10
5,2,0.20406433300013305,313,10
7,2,0.7068664170001284,723,10
9,2,1.6842411669986177,1137,10
11,2,3.331627458001094,1773,10
13,2,5.82769025000016,2434,10
5,3,16.140368999998827,313,10
9,3,173.4969358340004,1154,10
13,3,622.6988283329993,2432,10
